Section,English,Spanish,French,Japanese,Mandarin,Italian,Arabic,Hebrew,German,Russian,Portuguese
Nice to meet you,Nice to meet you,Encantado de conocerte,Enchanté de faire votre connaissance,はじめまして、Garrett-さん,很高兴认识你,Piacere di conoscerti,تشرّفت بلقائك يا,נעים להכיר אותך,Schön dich kennenzulernen,Приятно познакомиться,Prazer em conhecê-lo
I don't know,I don't know,No lo sé,Je ne sais pas,分かりません,我不知道,Non lo so,لا أَعرف,אני לא יודע,Ich weiß nicht,Я не знаю,Eu não sei
I'm sorry I speak English,I'm sorry I speak English,Lo siento hablo inglés,Je suis désolé(e) je parle anglais,すみません、英語しか話せません,对不起，我只说英语,Mi dispiace parlo solo inglese,آسف، أنا أتكلم الإنجليزية فقط,סליחה אני מדבר אנגלית,Entschuldigung ich spreche nur Englisch,Простите я говорю только по-английски,Desculpe eu só falo inglês
Very good,Very good,Muy bien,Très bien,とてもいいです,非常好,Molto bene,ممتاز,טוב מאוד,Sehr gut,Очень хорошо,Muito bom
Thank you,Thank you,Gracias,Merci,ありがとう,谢谢,Grazie,شكراً,תודה,Danke,Спасибо,Obrigado / Obrigada
What's up,What's up,¿Qué tal? / ¿Qué pasa?,Ça va ?,元気？,怎么样？,Che si dice?,ما الأخبار؟,מה קורה?,Was geht?,Как дела?,E aí?
That please,That please,Eso por favor,Cela s'il vous plaît,それをください,那个，请,Quello per favore,ذلك من فضلك,את זה בבקשה,Das bitte,То пожалуйста,Aquilo por favor
Good morning,Good morning,Buenos días,Bonjour,おはようございます,早上好,Buongiorno,صباح الخير,בוקר טוב,Guten Morgen,Доброе утро,Bom dia
Good afternoon,Good afternoon,Buenas tardes,Bon après-midi,こんにちは,下午好,Buon pomeriggio,مساء الخير / طاب مساؤك,צהריים טובים,Guten Tag,Добрый день,Boa tarde
Good night,Good night,Buenas noches,Bonne nuit,おやすみなさい,晚安,Buona notte,تصبح على خير,לילה טוב,Gute Nacht,Спокойной ночи,Boa noite
Count 0-5,zero one two three four five,cero uno dos tres cuatro cinco,zéro un deux trois quatre cinq,ゼロ いち に さん よん ご,零 一 二 三 四 五,zero uno due tre quattro cinque,صفر واحد اثنان ثلاثة أربعة خمسة,אפס אחד שתיים שלוש ארבע חמש,null eins zwei drei vier fünf,ноль один два три четыре пять,zero um dois três quatro cinco
